Datei,Zeilen,Status
genesis-orchestrator/.github/workflows/build-android.yml,70,FIXME
genesis-orchestrator/.github/workflows/build-backend.yml,66,FIXME
genesis-orchestrator/.gitignore,30,REAL
genesis-orchestrator/README.md,172,FIXME
genesis-orchestrator/android-app/app/build.gradle.kts,106,REAL
genesis-orchestrator/android-app/app/proguard-rules.pro,4,REAL
genesis-orchestrator/android-app/app/src/main/AndroidManifest.xml,43,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/MainActivity.kt,29,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/adb/AdbBridge.kt,72,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ble/BleDeviceItem.kt,22,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ble/NordicUartHandler.kt,91,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ble/PolarBleManager.kt,256,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ble/PolarConfigViewModel.kt,37,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ble/ui/ExpandableCard.kt,100,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ble/ui/PolarConfigExpandableCard.kt,221,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ble/ui/PolarConfigScreen.kt,214,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ui/HitTest.kt,77,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ui/MainScreen.kt,59,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ui/NodeDetailPopup.kt,87,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ui/NodeGraphScreen.kt,135,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ui/NodeGraphViewModel.kt,106,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ui/RaycastUtil.kt,39,PLACEHOLDER
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/ui/theme/Theme.kt,19,REAL
genesis-orchestrator/android-app/app/src/main/java/com/genesis/orchestrator/websocket/WebSocketClient.kt,98,REAL
genesis-orchestrator/android-app/app/src/main/res/drawable/ic_launcher_foreground.xml,10,REAL
genesis-orchestrator/android-app/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,5,REAL
genesis-orchestrator/android-app/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,5,REAL
genesis-orchestrator/android-app/app/src/main/res/values/colors.xml,4,REAL
genesis-orchestrator/android-app/app/src/main/res/values/strings.xml,4,REAL
genesis-orchestrator/android-app/app/src/main/res/values/themes.xml,8,REAL
genesis-orchestrator/android-app/build.gradle.kts,6,REAL
genesis-orchestrator/android-app/gradle.properties,5,REAL
genesis-orchestrator/android-app/gradle/wrapper/gradle-wrapper.jar,149,REAL
genesis-orchestrator/android-app/gradle/wrapper/gradle-wrapper.properties,7,REAL
genesis-orchestrator/android-app/gradlew,249,REAL
genesis-orchestrator/android-app/gradlew.bat,92,REAL
genesis-orchestrator/android-app/settings.gradle.kts,18,REAL
genesis-orchestrator/docker-compose.yml,38,REAL
genesis-orchestrator/fastapi-backend/.dockerignore,9,REAL
genesis-orchestrator/fastapi-backend/Dockerfile,28,REAL
genesis-orchestrator/fastapi-backend/app/__init__.py,2,REAL
genesis-orchestrator/fastapi-backend/app/config.py,45,REAL
genesis-orchestrator/fastapi-backend/app/main.py,208,REAL
genesis-orchestrator/fastapi-backend/app/moe/__init__.py,6,REAL
genesis-orchestrator/fastapi-backend/app/moe/base.py,39,REAL
genesis-orchestrator/fastapi-backend/app/moe/loader.py,104,REAL
genesis-orchestrator/fastapi-backend/app/moe/parsers/__init__.py,1,REAL
genesis-orchestrator/fastapi-backend/app/moe/parsers/ninebot.py,53,STUB
genesis-orchestrator/fastapi-backend/app/moe/parsers/vesc.py,54,STUB
genesis-orchestrator/fastapi-backend/app/moe/registry.py,38,REAL
